name,attribute,lat,lon,marker-color,marker-size,marker-symbol
成田国際空港,furuhashilabs,35.76630061,140.3786656,#0400fa,large,airport
中部国際空港,furuhashilabs,34.86566506,136.8087534,#0400fa,large,airport
関西国際空港,furuhashilabs,34.43010908,135.2303603,#0400fa,large,airport
大阪国際空港,furuhashilabs,34.78830697,135.4354864,#0400fa,large,airport
東京国際空港,furuhashilabs,35.549786,139.78653,#0400fa,large,airport
新千歳空港,furuhashilabs,42.78185772,141.6906088,,medium,airport
稚内空港,furuhashilabs,45.40426369,141.8014661,,medium,airport
釧路空港,furuhashilabs,43.04431358,144.1909942,#0400fa,large,airport
函館空港,furuhashilabs,41.77100261,140.8212118,#0400fa,large,airport
仙台空港,furuhashilabs,38.13837594,140.9171575,#0400fa,large,airport
新潟空港,furuhashilabs,37.95577914,139.1143532,,medium,airport
広島空港,furuhashilabs,34.43769217,132.9178014,,medium,airport
高松空港,furuhashilabs,34.21431919,134.0150113,,medium,airport
松山空港,furuhashilabs,33.82736989,132.6993773,#0400fa,large,airport
高知空港,furuhashilabs,33.54658928,133.6718337,,medium,airport
福岡空港,furuhashilabs,33.58712756,130.4506991,#0400fa,large,airport
北九州空港,furuhashilabs,33.84114844,131.034595,,medium,airport
長崎空港,furuhashilabs,32.91632475,129.9134029,#0400fa,large,airport
熊本空港,furuhashilabs,32.83644557,130.8540965,#0400fa,large,airport
大分空港,furuhashilabs,33.48364672,131.7365657,#0400fa,large,airport
宮崎空港,furuhashilabs,31.87749469,131.4467918,#0400fa,large,airport
鹿児島空港,furuhashilabs,31.80784481,130.7176131,#0400fa,large,airport
那覇空港,furuhashilabs,26.19732191,127.642773,#0400fa,large,airport
旭川空港,furuhashilabs,43.67092386,142.4499868,,medium,airport
帯広空港,furuhashilabs,42.73640578,143.2161885,,medium,airport
秋田空港,furuhashilabs,39.61516942,140.2165133,,medium,airport
山形空港,furuhashilabs,38.41112492,140.3704303,,medium,airport
山口宇部空港,furuhashilabs,33.93007556,131.2728545,,medium,airport
利尻空港,furuhashilabs,45.24095825,141.19,,medium,airport
礼文空港,furuhashilabs,45.45639078,141.0371682,,medium,airport
奥尻空港,furuhashilabs,42.0711188,139.4329652,,medium,airport
中標津空港,furuhashilabs,43.57683297,144.9557238,,medium,airport
紋別空港,furuhashilabs,44.30521517,143.4019765,,medium,airport
女満別空港,furuhashilabs,43.88433428,144.1636317,,medium,airport
青森空港,furuhashilabs,40.73627456,140.6897101,,medium,airport
花巻空港,furuhashilabs,39.4286915,141.1347531,,medium,airport
大館能代空港,furuhashilabs,40.19190553,140.3691795,,medium,airport
庄内空港,furuhashilabs,38.81310392,139.7868065,,medium,airport
福島空港,furuhashilabs,37.23040358,140.4296447,,medium,airport
大島空港,furuhashilabs,34.78442182,139.3609861,,medium,airport
新島空港,furuhashilabs,34.36955061,139.2673853,,medium,airport
神津島空港,furuhashilabs,34.18980247,139.1318542,,medium,airport
三宅島空港,furuhashilabs,34.07416497,139.5598901,,medium,airport
八丈島空港,furuhashilabs,33.11425547,139.7835181,,medium,airport
佐渡空港,furuhashilabs,38.06055444,138.4133704,,medium,airport
松本空港,furuhashilabs,36.16920738,137.92219,,medium,airport
静岡空港,furuhashilabs,34.79511753,138.1882353,,medium,airport
富山空港,furuhashilabs,36.64918408,137.1873427,,medium,airport
能登空港,furuhashilabs,37.29274858,136.9589823,,medium,airport
福井空港,furuhashilabs,36.14499239,136.2238218,,medium,airport
神戸空港,furuhashilabs,34.6371668,135.2290865,,medium,airport
南紀白浜空港,furuhashilabs,33.66539058,135.3596706,,medium,airport
鳥取空港,furuhashilabs,35.52968231,134.1657713,,medium,airport
隠岐空港,furuhashilabs,36.11203,133.106247,,medium,airport
出雲空港,furuhashilabs,35.41328183,132.885651,,medium,airport
